# Gerado em: 2025-08-15 07:27:00 UTC
Servidor,Versão,Jogadores Online,Origem,Observação
alastera.com:7171,-,78,Socket,
ambrussouls.com:7171,-,60,Socket,
amirots.com:7171,-,28,Socket,
acidsot.com:7171,-,0,Socket,
arcanis-ots.net:7171,-,0,Socket,
3dragons.games:7171,-,0,Pendência,Status bloqueado/indisponível
amera.fun:7171,-,0,Pendência,Status bloqueado/indisponível
aura.taleon.online:7171,-,0,Pendência,Status bloqueado/indisponível
auroria.rubinot.com.br:7171,-,0,Pendência,Status bloqueado/indisponível
kingot.com.br:7171,-,0,Pendência,Status bloqueado/indisponível
