Servidor,Versão,Jogadores Online,Origem,Observação
amera.fun:7171,,0,Pendência,Status bloqueado/indisponível
auroria.rubinot.com.br:7171,,0,Pendência,Status bloqueado/indisponível
alastera.com:7171,,88,Socket,
amirots.com:7171,,29,Socket,
ambrussouls.com:7171,,59,Socket,
arcanis-ots.net:7171,,0,Socket,
acidsot.com:7171,,0,Socket,
3dragons.games:7171,,0,Pendência,Status bloqueado/indisponível
kingot.com.br:7171,,0,Pendência,Status bloqueado/indisponível
aura.taleon.online:7171,,0,Pendência,Status bloqueado/indisponível
